================================================================================
 REGISTRO DE AUDITORÍA DEL SIGB - PROYECTO DGAC
 Generado el: 13-11-2025 22:29:59
================================================================================

FECHA (UTC)            | USUARIO                   | ACCIÓN               | DETALLE
------------------------------------------------------------------------------------------------------------------------
2025-11-06 17:05:17    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Avion' (ID: 1)
2025-11-06 17:33:42    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'Avion' (ID: 1)
2025-11-06 17:42:02    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Avion' (ID: 1)
2025-11-06 17:42:46    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Avion' (ID Préstamo: 23)
2025-11-06 17:42:56    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Avion' (ID: 1)
2025-11-06 17:43:07    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Avion' (ID Préstamo: 24)
2025-11-06 18:45:30    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'Avion' (ID: 1)
2025-11-06 18:45:35    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Avion' (ID Préstamo: 25)
2025-11-06 18:46:24    | Rodolfo@gmail.com         | Crear Libro          | Libro 'Aviones 2' creado.
2025-11-06 18:46:47    | Rodolfo@gmail.com         | Archivar Libro       | Libro 'Aviones 2' (ID: 2) archivado.
2025-11-06 18:47:21    | Rodolfo@gmail.com         | Reactivar Libro      | Libro 'Aviones 2' (ID: 2) reactivado.
2025-11-06 18:47:52    | Rodolfo@gmail.com         | Editar Libro         | Libro 'Avion' (ID: 1) editado.
2025-11-06 18:54:17    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 1). Cambios: ['titulo' cambió de 'Avion3' a 'Avion3']
2025-11-06 18:54:55    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 1). Cambios: ['titulo' cambió de 'Avion1' a 'Avion1']
2025-11-06 19:02:56    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 1). Cambios: ['titulo' cambió de 'Avion1' a 'Aviones']
2025-11-06 19:05:50    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones' (ID: 1)
2025-11-06 19:05:51    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones 2' (ID: 2)
2025-11-06 19:10:44    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Aviones 2' (ID Préstamo: 27)
2025-11-06 19:10:45    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Aviones' (ID Préstamo: 26)
2025-11-06 19:11:30    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones' (ID: 1)
2025-11-06 19:14:08    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Aviones' (ID Préstamo: 28)
